국가,AIDS,기대수명
대한민국,0.330983996,83.3
이스라엘,0.397159706,82.7
일본,0.326064644,84.2
튀르키예,0.147399196,77.1
캐나다,0.317338732,82
멕시코,12.23064336,74.1
미국,5.457092522,78.8
칠레,6.647068431,80.4
콜롬비아,19.43869954,76.6
오스트리아,0.716153234,81.6
벨기에,0.456781448,81.4
체코,0.512771817,79
덴마크,0.488059962,81.1
에스토니아,1.517450683,78
핀란드,0.326797386,81.5
프랑스,0.781055126,82.5
독일,0.357039117,80.9
그리스,1.122334456,80.9
헝가리,0.531208499,76
아이슬란드,0,82.5
아일랜드,0.440067058,81.9
이탈리아,1.33324445,82.7
라트비아,6.035805627,74.8
리투아니아,1.859504132,75.4
룩셈부르크,1.006711409,81.7
네덜란드,1.139071308,81.7
노르웨이,0.265302255,82.6
폴란드,0.282874419,77.7
포르투갈,2.881257276,81.5
슬로바키아,0.165471594,77.2
슬로베니아,0.333651096,81.1
스페인,1.094796497,83
스위스,0.840037861,83.4
영국,0.399606448,81.2
오스트레일리아,0,83
뉴질랜드,0.358196376,82.2
