국가,AIDS,기대수명
대한민국,0.330983996,83.3
이스라엘,0.397159706,82.7
일본,0.326064644,84.2
튀르키예,0.147399196,77.1
멕시코,12.23064336,74.1
미국,5.457092522,78.8
칠레,6.647068431,80.4
콜롬비아,19.43869954,76.6
오스트리아,0.716153234,81.6
벨기에,0.456781448,81.4
체코,0.512771817,79
덴마크,0.488059962,81.1
에스토니아,1.517450683,78
핀란드,0.326797386,81.5
프랑스,0.781055126,82.5
독일,0.357039117,80.9
그리스,1.122334456,80.9
헝가리,0.531208499,76
아이슬란드,0,82.5
아일랜드,0.440067058,81.9
이탈리아,1.33324445,82.7
라트비아,6.035805627,74.8
리투아니아,1.859504132,75.4
룩셈부르크,1.006711409,81.7
네덜란드,1.139071308,81.7
노르웨이,0.265302255,82.6
폴란드,0.282874419,77.7
포르투갈,2.881257276,81.5
슬로바키아,0.165471594,77.2
슬로베니아,0.333651096,81.1
스페인,1.094796497,83
스위스,0.840037861,83.4
영국,0.399606448,81.2
뉴질랜드,0.358196376,82.2
국가1,0.341184453,83.3
국가2,0.461210974,82.8
국가3,0.298599671,84.3
국가4,0.130420606,77.6
국가5,14.06776654,74
국가6,5.232131029,79
국가7,6.940805305,80.1
국가8,20.79266189,76.7
국가9,0.599479697,81.7
국가10,0.471656913,81.5
국가11,0.370194589,79
국가12,0.450840992,81
국가13,1.89107413,78.1
국가14,0.380779692,81.6
국가15,0.840100812,82.6
국가16,0.291928538,81.2
국가17,0.95927772,81.4
국가18,0.583060556,76.2
국가19,0.566572238,82.8
국가20,0.310237849,82.1
국가21,1.195784692,83.2
국가22,5.113636364,75
국가23,1.28650904,75.7
국가24,0.657894737,81.8
국가25,1.029735046,81.8
국가26,0.225903614,82.8
국가27,0.288154513,77.6
국가28,2.517006803,81.4
국가29,0.201946025,77.3
국가30,0.474833808,81.4
국가31,0.784322106,83.1
국가32,0.739957717,83.6
국가33,0.383845378,81.1
국가34,0.433973962,82.4
