국가,CO2,GNI,기대수명
대한민국,12.2,30300,83.3
아프가니스탄,0.1,530,63
아르메니아,1.8,3950,74.9
아제르바이잔,3.2,4110,72.2
바레인,20.4,21250,79.7
방글라데시,0.5,1670,71.8
부탄,1.3,2800,70.8
브루나이,17.2,29800,74.7
캄보디아,0.8,1230,70.5
중국,7.2,8670,77.2
키프로스,6.2,24960,81.3
조지아,2.6,4040,73.6
인도,1.7,1820,70.5
인도네시아,2,3530,69.9
이란,7.8,5750,76
이라크,4.1,4640,70.4
이스라엘,7.5,37970,82.7
일본,9.1,38930,84.2
요르단,2.7,4080,75.5
카자흐스탄,11.9,8040,71.4
쿠웨이트,22.4,31400,79.8
키르기스스탄,1.5,1110,70.6
라오스,2.7,2260,67.4
레바논,4.3,7460,79.7
말레이시아,7.3,9950,75.5
몰디브,3.7,8600,79.9
몽골,6.3,3240,70.2
미얀마,0.6,1180,65.8
네팔,0.5,990,68.9
오만,15.4,16130,77.9
파키스탄,1,1490,66.3
필리핀,1.3,3530,71.5
카타르,32.1,56920,80.7
사우디아라비아,16.5,19990,77.2
싱가포르,8.8,54590,83.2
스리랑카,1.1,3870,75.4
시리아,1.7,820,68.5
타지키스탄,0.8,1030,69.9
태국,3.7,5970,78.4
튀르키예,5.1,10970,77.1
투르크메니스탄,12.7,6380,68.9
아랍에미리트,20.8,39280,79.5
우즈베키스탄,3.4,2470,71
베트남,2.4,2700,74
예멘,0.4,1080,66
캐나다,15.5,42900,82
멕시코,3.8,8920,74.1
미국,14.8,59250,78.8
앤티가바부다,5.2,14320,78.3
아르헨티나,4.1,13140,76.8
바하마,5.7,30580,73.6
바베이도스,4.1,16090,76.9
벨리즈,1.7,4430,73.6
볼리비아,2,3090,67.7
브라질,2.2,8680,74.8
칠레,4.7,13260,80.4
콜롬비아,1.5,5940,76.6
코스타리카,1.7,11500,79.4
쿠바,2.3,7950,77.5
도미니카연방,2.4,7270,67.5
도미니카공화국,2.2,7090,73.1
에콰도르,2.3,5860,77
엘살바도르,1,3600,72.3
그레나다,2.6,8740,74.8
과테말라,1,4100,72.6
가이아나,3.2,5910,68.7
아이티,0.3,1340,63.9
온두라스,1,2250,72.7
자메이카,2.5,4750,71.9
니카라과,0.9,2030,73.6
파나마,2.5,13750,77.8
파라과이,1.2,5370,73.6
페루,1.7,6060,75.9
세인트키츠네비스,4.6,18530,71.8
세인트루시아,2.9,10060,73.1
세인트빈센트그레나딘,2.1,7460,74.3
수리남,4.4,5940,72.4
