국가,GNI,기대수명
버뮤다,112940,82.4
스위스,81880,83.4
맨섬,78810,80.5
룩셈부르크,75800,81.7
노르웨이,75650,82.6
마카오,69950,84.6
아이슬란드,60230,82.5
미국,59250,78.8
카타르,56920,80.7
덴마크,56690,81.1
싱가포르,54590,83.2
아일랜드,53350,81.9
스웨덴,53030,82.4
케이맨제도,52840,74.9
오스트레일리아,51480,83
네덜란드,47160,81.7
홍콩,46380,84.9
오스트리아,45040,81.6
핀란드,44840,81.5
독일,43760,80.9
캐나다,42900,82
벨기에,42520,81.4
영국,41880,81.2
아랍에미리트,39280,79.5
일본,38930,84.2
뉴질랜드,38870,82.2
프랑스,38320,82.5
이스라엘,37970,82.7
쿠웨이트,31400,79.8
이탈리아,31380,82.7
바하마,30580,73.6
대한민국,30300,83.3
브루나이,29800,74.7
아루바,27740,75.9
스페인,27100,83
터크스케이커스제도,26200,76.7
대만,25704,80.1
키프로스,24960,81.3
몰타,24710,83.6
슬로베니아,22140,81.1
바레인,21250,79.7
포르투갈,20060,81.5
푸에르토리코,20000,79.3
사우디아라비아,19990,77.2
에스토니아,18760,78
세인트키츠네비스,18530,71.8
체코,18310,79
그리스,17960,80.9
슬로바키아,16620,77.2
팔라우,16540,64.1
오만,16130,77.9
트리니다드토바고,16120,74.2
바베이도스,16090,76.9
우루과이,15920,77.6
리투아니아,15280,75.4
라트비아,14870,74.8
세이셸,14660,73.8
앤티가바부다,14320,78.3
파나마,13750,77.8
칠레,13260,80.4
헝가리,13190,76
아르헨티나,13140,76.8
크로아티아,12980,78.1
폴란드,12730,77.7
나우루,12310,63
코스타리카,11500,79.4
모리셔스,10980,74.9
튀르키예,10970,77.1
루마니아,10110,76
세인트루시아,10060,73.1
