국가,GNI,기대수명
부룬디,260,61.6
말라위,380,63
소말리아,380,55.7
중앙아프리카공화국,440,53.7
콩고민주공화국,460,59.4
마다가스카르,470,65.1
모잠비크,470,59.8
니제르,520,62.2
시에라리온,520,58.7
아프가니스탄,530,63
차드,640,52.3
라이베리아,640,60.6
감비아,660,63
부르키나파소,670,59.5
기니비사우,680,60.1
토고,720,60.2
르완다,730,65.9
에티오피아,740,64.8
우간다,740,62.1
말리,770,59.1
시리아,820,68.5
기니,820,59.1
탄자니아,970,66
네팔,990,68.9
타지키스탄,1030,69.9
예멘,1080,66
베냉,1090,59.9
키르기스스탄,1110,70.6
미얀마,1180,65.8
레소토,1190,53.1
캄보디아,1230,70.5
코모로,1280,63.6
세네갈,1280,67.8
잠비아,1300,62.1
아이티,1340,63.9
짐바브웨,1350,60.7
카메룬,1390,60.8
파키스탄,1490,66.3
케냐,1510,62.5
모리타니,1530,65.1
방글라데시,1670,71.8
콩고,1700,63.8
상투메프린시페,1700,68.3
인도,1820,70.5
가나,1880,64
앙골라,2010,61.7
니카라과,2030,73.6
코트디부아르,2030,58.5
나이지리아,2090,52.3
솔로몬제도,2220,70
온두라스,2250,72.7
라오스,2260,67.4
우크라이나,2360,74.7
수단,2420,65.4
우즈베키스탄,2470,71
파푸아뉴기니,2590,65.1
베트남,2700,74
지부티,2730,62.8
부탄,2800,70.8
모로코,2880,73.7
바누아투,2900,69.7
키리바시,2930,66.6
이집트,3030,71.3
카보베르데,3080,76.6
볼리비아,3090,67.7
몽골,3240,70.2
몰도바,3330,70.5
에스와티니,3390,57.9
미크로네시아,3450,71.5
인도네시아,3530,69.9
필리핀,3530,71.5
엘살바도르,3600,72.3
튀니지,3750,75.8
스리랑카,3870,75.4
아르메니아,3950,74.9
코소보,3950,78.8
알제리,3950,75.7
조지아,4040,73.6
사모아,4070,72.6
요르단,4080,75.5
과테말라,4100,72.6
아제르바이잔,4110,72.2
알바니아,4290,79
벨리즈,4430,73.6
마셜제도,4440,64.3
통가,4590,70.7
나미비아,4620,62.3
이라크,4640,70.4
자메이카,4750,71.9
북마케도니아,4940,76.5
투발루,5070,64.1
벨라루스,5320,74.5
파라과이,5370,73.6
피지,5370,67.8
세르비아,5570,76.2
이란,5750,76
에콰도르,5860,77
가이아나,5910,68.7
남아프리카공화국,5910,65.4
콜롬비아,5940,76.6
수리남,5940,72.4
태국,5970,78.4
페루,6060,75.9
투르크메니스탄,6380,68.9
보츠와나,6380,66.8
적도기니,6510,60.8
가봉,6510,66.2
도미니카공화국,7090,73.1
도미니카연방,7270,67.5
몬테네그로,7410,76.9
레바논,7460,79.7
세인트빈센트그레나딘,7460,74.3
불가리아,7610,74.8
쿠바,7950,77.5
카자흐스탄,8040,71.4
몰디브,8600,79.9
중국,8670,77.2
브라질,8680,74.8
그레나다,8740,74.8
멕시코,8920,74.1
러시아,9210,73.4
리비아,9900,72.5
말레이시아,9950,75.5
