국가,GNI,인터넷,CO2,기대수명
대한민국,30300,95.1,12.2,83.3
아프가니스탄,530,13.5,0.1,63
아르메니아,3950,64.7,1.8,74.9
아제르바이잔,4110,79,3.2,72.2
바레인,21250,95.9,20.4,79.7
방글라데시,1670,19.8,0.5,71.8
부탄,2800,46.2,1.3,70.8
브루나이,29800,94.9,17.2,74.7
캄보디아,1230,32.9,0.8,70.5
중국,8670,54.3,7.2,77.2
키프로스,24960,80.7,6.2,81.3
조지아,4040,59.7,2.6,73.6
인도,1820,18.2,1.7,70.5
인도네시아,3530,32.3,2,69.9
이란,5750,64,7.8,76
이라크,4640,49.4,4.1,70.4
이스라엘,37970,81.6,7.5,82.7
일본,38930,91.7,9.1,84.2
요르단,4080,64.5,2.7,75.5
카자흐스탄,8040,76.4,11.9,71.4
쿠웨이트,31400,98,22.4,79.8
키르기스스탄,1110,38.2,1.5,70.6
라오스,2260,25.5,2.7,67.4
레바논,7460,78.2,4.3,79.7
말레이시아,9950,80.1,7.3,75.5
몰디브,8600,61.3,3.7,79.9
몽골,3240,23.7,6.3,70.2
미얀마,1180,23.6,0.6,65.8
네팔,990,24.3,0.5,68.9
오만,16130,80.2,15.4,77.9
파키스탄,1490,13.8,1,66.3
필리핀,3530,41.6,1.3,71.5
카타르,56920,97.4,32.1,80.7
사우디아라비아,19990,94.2,16.5,77.2
싱가포르,54590,84.5,8.8,83.2
스리랑카,3870,21.3,1.1,75.4
시리아,820,32.7,1.7,68.5
타지키스탄,1030,22,0.8,69.9
태국,5970,52.9,3.7,78.4
튀르키예,10970,64.7,5.1,77.1
투르크메니스탄,6380,21.3,12.7,68.9
아랍에미리트,39280,94.8,20.8,79.5
우즈베키스탄,2470,48.7,3.4,71
베트남,2700,58.1,2.4,74
예멘,1080,26.7,0.4,66
캐나다,42900,92.7,15.5,82
멕시코,8920,63.9,3.8,74.1
미국,59250,87.3,14.8,78.8
아르헨티나,13140,74.3,4.1,76.8
바하마,30580,80.6,5.7,73.6
벨리즈,4430,47.1,1.7,73.6
볼리비아,3090,43.8,2,67.7
브라질,8680,67.5,2.2,74.8
칠레,13260,82.3,4.7,80.4
콜롬비아,5940,62.3,1.5,76.6
코스타리카,11500,71.6,1.7,79.4
쿠바,7950,57.1,2.3,77.5
도미니카공화국,7090,67.6,2.2,73.1
에콰도르,5860,55.8,2.3,77
엘살바도르,3600,33.8,1,72.3
그레나다,8740,54.2,2.6,74.8
과테말라,4100,37.9,1,72.6
아이티,1340,27.2,0.3,63.9
온두라스,2250,31.7,1,72.7
자메이카,4750,55.1,2.5,71.9
니카라과,2030,30.4,0.9,73.6
파나마,13750,60,2.5,77.8
파라과이,5370,61.1,1.2,73.6
페루,6060,50.5,1.7,75.9
세인트루시아,10060,46,2.9,73.1
세인트빈센트그레나딘,7460,53.7,2.1,74.3
수리남,5940,48.9,4.4,72.4
우루과이,15920,70.3,1.8,77.6
알바니아,4290,62.4,1.8,79
오스트리아,45040,87.9,7.5,81.6
벨라루스,5320,74.4,5.9,74.5
벨기에,42520,87.7,8.2,81.4
불가리아,7610,63.4,6.2,74.8
크로아티아,12980,67.1,4.2,78.1
체코,18310,78.7,9.6,79
덴마크,56690,97.1,5.7,81.1
에스토니아,18760,88.1,12.7,78
핀란드,44840,87.5,7.8,81.5
프랑스,38320,80.5,4.7,82.5
독일,43760,84.4,8.9,80.9
그리스,17960,69.9,6.2,80.9
헝가리,13190,76.8,4.7,76
아이슬란드,60230,98.3,4.9,82.5
아일랜드,53350,84.1,7.9,81.9
이탈리아,31380,63.1,5.4,82.7
라트비아,14870,80.1,3.7,74.8
리투아니아,15280,77.6,4,75.4
룩셈부르크,75800,97.4,15.1,81.7
북마케도니아,4940,74.5,3.8,76.5
몰타,24710,81,3.2,83.6
네덜란드,47160,93.2,9.1,81.7
노르웨이,75650,96.4,7.1,82.6
폴란드,12730,76,8.2,77.7
포르투갈,20060,73.8,5.2,81.5
루마니아,10110,63.7,3.8,76
러시아,9210,76,11,73.4
슬로바키아,16620,81.6,6.2,77.2
슬로베니아,22140,78.9,6.8,81.1
스페인,27100,84.6,5.7,83
스웨덴,53030,93,3.8,82.4
스위스,81880,89.7,4.6,83.4
우크라이나,2360,58.9,3.9,74.7
영국,41880,90.4,5.6,81.2
몬테네그로,7410,71.3,3.6,76.9
