국가,보건지출비,GNI,인터넷,흡연율,기대수명
대한민국,130070248,30300,95.1,21.4,83.3
중국,4199562,8670,54.3,25.7,77.2
인도,5017596,1820,18.2,28.1,70.5
이스라엘,92537,37970,81.6,21.6,82.7
일본,58936955,38930,91.7,20.5,84.2
튀르키예,130981,10970,64.7,30.9,77.1
캐나다,232513,42900,92.7,13.6,82
멕시코,1197077,8920,63.9,13.4,74.1
미국,3266330,59250,87.3,23.4,78.8
아르헨티나,1113168,13140,74.3,24.9,76.8
브라질,623727,8680,67.5,13.2,74.8
칠레,16300654,13260,82.3,29.9,80.4
콜롬비아,70679683,5940,62.3,8.8,76.6
코스타리카,2419589,11500,71.6,9.1,79.4
오스트리아,38355,45040,87.9,27.1,81.6
벨기에,47850,42520,87.7,23.9,81.4
체코,377209,18310,78.7,30.9,79
덴마크,221451,56690,97.1,18.1,81.1
에스토니아,1572,18760,88.1,30.5,78
핀란드,20654,44840,87.5,22.2,81.5
프랑스,260911,38320,80.5,33.6,82.5
독일,369980,43760,84.4,22.5,80.9
그리스,14391,17960,69.9,34.5,80.9
헝가리,2646854,13190,76.8,32.2,76
아이슬란드,218261,60230,98.3,12.6,82.5
아일랜드,21219,53350,84.1,21.4,81.9
이탈리아,150697,31380,63.1,23.3,82.7
라트비아,1610,14870,80.1,37.2,74.8
리투아니아,2733,15280,77.6,32.3,75.4
룩셈부르크,2987,75800,97.4,21.6,81.7
네덜란드,74614,47160,93.2,22.6,81.7
노르웨이,339948,75650,96.4,17.1,82.6
폴란드,130536,12730,76,24.7,77.7
포르투갈,18235,20060,73.8,25.3,81.5
슬로바키아,5721,16620,81.6,31.5,77.2
슬로베니아,3520,22140,78.9,22.3,81.1
스페인,103984,27100,84.6,28.1,83
스웨덴,498821,53030,93,24.8,82.4
스위스,79643,81880,89.7,25.7,83.4
영국,201074,41880,90.4,16.1,81.2
남아프리카공화국,405914,5910,56.2,20.4,65.4
오스트레일리아,186611,51480,86.5,14,83
뉴질랜드,26076,38870,87.7,14.2,82.2
