국가,2017,2018,2019,2020
세계,72.3,72.6,72.8,72
대한민국,83.3,83.3,83.7,83.6
아프가니스탄,63,63.1,63.6,62.6
아르메니아,74.9,75.1,75.4,72.2
아제르바이잔,72.2,72.8,73.1,66.9
바레인,79.7,79.9,80,79.2
방글라데시,71.8,72.6,72.8,72
부탄,70.8,71.1,71.4,71.6
브루나이,74.7,74.7,74.7,74.8
캄보디아,70.5,70.6,70.7,70.4
중국,77.2,77.7,78,78.1
키프로스,81.3,81.4,81.4,81.4
조지아,73.6,73.3,73.5,72.8
홍콩,84.9,85.2,85.3,85.2
인도,70.5,70.7,70.9,70.2
인도네시아,69.9,70.3,70.5,68.8
이란,76,76.2,76.1,74.8
이라크,70.4,71.5,71.6,69.1
이스라엘,82.7,82.8,82.8,82.4
일본,84.2,84.3,84.4,84.7
요르단,75.5,75.8,76,75.2
카자흐스탄,71.4,71.5,71.6,70
북한,73,73,73.2,73.3
쿠웨이트,79.8,79.7,79.7,76.9
키르기스스탄,70.6,70.7,71.2,69.6
라오스,67.4,67.6,68.1,68.5
레바논,79.7,79.7,79.2,77.8
마카오,84.6,84.9,85,85.2
말레이시아,75.5,75.6,75.8,75.9
몰디브,79.9,80,80.1,79.9
몽골,70.2,71.2,71.8,72.1
미얀마,65.8,66.5,66.6,66.8
네팔,68.9,69,69.6,69.2
오만,77.9,78,78,74.8
파키스탄,66.3,66.5,66.8,66.3
필리핀,71.5,71.7,71.9,72.1
카타르,80.7,80.9,81,79.1
사우디아라비아,77.2,77.2,77.3,76.2
싱가포르,83.2,83.5,83.8,82.9
스리랑카,75.4,75.7,76,76.4
시리아,68.5,70.1,71.8,72.1
대만,80.1,80.5,80.7,80.9
타지키스탄,69.9,70.4,70.9,68
태국,78.4,78.7,79,79.3
튀르키예,77.1,77.6,77.8,75.9
투르크메니스탄,68.9,68.8,69,68.7
아랍에미리트,79.5,79.6,79.7,78.9
우즈베키스탄,71,71.1,71.3,70.3
베트남,74,74,74.1,75.4
예멘,66,64.6,65.1,64.7
버뮤다,82.4,80.8,81,81.1
캐나다,82,82.1,82.4,82
그린란드,72.6,72.2,72.2,72.3
멕시코,74.1,74,74.2,70.1
생피에르미클롱,77.1,77.1,77.1,77.1
미국,78.8,79,79.1,77.4
안길라,75.9,76.8,76.9,76.9
앤티가바부다,78.3,78.5,78.7,78.8
아르헨티나,76.8,77,77.3,75.9
아루바,75.9,76.1,76.2,75.7
바하마,73.6,73.8,71.2,72.7
바베이도스,76.9,77.1,77.3,77.4
벨리즈,73.6,73.7,73.9,72.9
볼리비아,67.7,67.7,67.8,64.5
브라질,74.8,75.1,75.3,74
영국령버진아일랜드,74.8,75.8,75.9,75.8
케이맨제도,74.9,75,75.1,75.1
칠레,80.4,80.1,80.3,79.4
콜롬비아,76.6,76.7,76.8,74.8
코스타리카,79.4,79.5,79.4,79.3
쿠바,77.5,77.5,77.6,77.6
도미니카연방,67.5,73.6,73.6,73.6
도미니카공화국,73.1,73.2,73.6,72.9
에콰도르,77,77.1,77.3,72.2
엘살바도르,72.3,72.6,72.6,71.1
포클랜드,78.5,78.5,78.7,78.4
그레나다,74.8,74.8,74.9,74.9
과들루프,82.5,82.5,82.8,82.4
과테말라,72.6,72.7,73.1,71.8
가이아나,68.7,68.9,69.1,68.5
아이티,63.9,64,64.3,64.1
온두라스,72.7,72.8,72.9,71.5
자메이카,71.9,71.8,71.8,71.9
마르티니크,82.3,82.6,82.8,83.1
몬트세랫,75.2,75.2,75.4,75.3
니카라과,73.6,73.9,74.1,71.8
파나마,77.8,77.9,77.8,76.7
파라과이,73.6,73.6,73.6,73.2
페루,75.9,76,76.2,73.7
푸에르토리코,79.3,79.8,79.1,78
세인트키츠네비스,71.8,71.5,71.6,71.6
세인트루시아,73.1,73.4,73.4,73.4
세인트빈센트그레나딘,74.3,74.1,72.8,72.1
수리남,72.4,72.6,72.2,72.6
트리니다드토바고,74.2,73.8,74.2,74.4
터크스케이커스제도,76.7,76.4,75.3,75
미국령버진아일랜드,74.8,75,75.1,74.9
우루과이,77.6,77.6,77.5,78.4
베네수엘라,71.9,72,72.2,71.1
알바니아,79,79.2,79.3,77
안도라,83,83,83,79
오스트리아,81.6,81.7,81.9,81.5
벨라루스,74.5,74.6,74.2,72.5
벨기에,81.4,81.5,81.8,80.8
불가리아,74.8,74.9,75.1,73.6
크로아티아,78.1,78.3,78.7,78
체코,79,79,79.2,78.6
덴마크,81.1,81,81.4,81.5
에스토니아,78,78.1,78.7,78.3
페로제도,78,78.4,78.4,79.4
핀란드,81.5,81.6,81.9,81.9
프랑스,82.5,82.6,82.7,82.2
독일,80.9,81.2,81.6,81.1
지브롤터,81.8,82.2,82.4,82.2
그리스,80.9,81.4,81.2,80.9
헝가리,76,76.2,76.5,75.7
