국가,보건지출비,기대수명
대한민국,130070248,83.3
중국,4199562,77.2
인도,5017596,70.5
이스라엘,92537,82.7
일본,58936955,84.2
튀르키예,130981,77.1
캐나다,232513,82
멕시코,1197077,74.1
미국,3266330,78.8
아르헨티나,1113168,76.8
브라질,623727,74.8
칠레,16300654,80.4
콜롬비아,70679683,76.6
코스타리카,2419589,79.4
오스트리아,38355,81.6
벨기에,47850,81.4
체코,377209,79
덴마크,221451,81.1
에스토니아,1572,78
핀란드,20654,81.5
프랑스,260911,82.5
독일,369980,80.9
그리스,14391,80.9
헝가리,2646854,76
아이슬란드,218261,82.5
아일랜드,21219,81.9
이탈리아,150697,82.7
라트비아,1610,74.8
리투아니아,2733,75.4
룩셈부르크,2987,81.7
네덜란드,74614,81.7
노르웨이,339948,82.6
폴란드,130536,77.7
포르투갈,18235,81.5
슬로바키아,5721,77.2
슬로베니아,3520,81.1
스페인,103984,83
스웨덴,498821,82.4
스위스,79643,83.4
영국,201074,81.2
남아프리카공화국,405914,65.4
오스트레일리아,186611,83
뉴질랜드,26076,82.2
