국가,인터넷,기대수명
대한민국,95.1,83.3
아프가니스탄,13.5,63
아르메니아,64.7,74.9
아제르바이잔,79,72.2
바레인,95.9,79.7
방글라데시,19.8,71.8
부탄,46.2,70.8
브루나이,94.9,74.7
캄보디아,32.9,70.5
중국,54.3,77.2
키프로스,80.7,81.3
조지아,59.7,73.6
홍콩,89.4,84.9
인도,18.2,70.5
인도네시아,32.3,69.9
이란,64,76
이라크,49.4,70.4
이스라엘,81.6,82.7
일본,91.7,84.2
요르단,64.5,75.5
카자흐스탄,76.4,71.4
쿠웨이트,98,79.8
키르기스스탄,38.2,70.6
라오스,25.5,67.4
레바논,78.2,79.7
마카오,83.2,84.6
말레이시아,80.1,75.5
몰디브,61.3,79.9
몽골,23.7,70.2
미얀마,23.6,65.8
네팔,24.3,68.9
오만,80.2,77.9
파키스탄,13.8,66.3
필리핀,41.6,71.5
카타르,97.4,80.7
사우디아라비아,94.2,77.2
싱가포르,84.5,83.2
스리랑카,21.3,75.4
시리아,32.7,68.5
대만,82.9,80.1
타지키스탄,22,69.9
태국,52.9,78.4
튀르키예,64.7,77.1
투르크메니스탄,21.3,68.9
아랍에미리트,94.8,79.5
우즈베키스탄,48.7,71
베트남,58.1,74
예멘,26.7,66
버뮤다,98.4,82.4
캐나다,92.7,82
그린란드,69.5,72.6
멕시코,63.9,74.1
미국,87.3,78.8
아루바,97.2,75.9
바하마,80.6,73.6
바베이도스,81.8,76.9
벨리즈,47.1,73.6
볼리비아,43.8,67.7
브라질,67.5,74.8
영국령버진아일랜드,77.7,74.8
케이맨제도,81.1,74.9
칠레,82.3,80.4
콜롬비아,62.3,76.6
코스타리카,71.6,79.4
쿠바,57.1,77.5
도미니카연방,69.6,67.5
도미니카공화국,67.6,73.1
에콰도르,55.8,77
엘살바도르,33.8,72.3
그레나다,54.2,74.8
과테말라,37.9,72.6
가이아나,37.3,68.7
아이티,27.2,63.9
온두라스,31.7,72.7
자메이카,55.1,71.9
니카라과,30.4,73.6
파나마,60,77.8
파라과이,61.1,73.6
페루,50.5,75.9
푸에르토리코,68.7,79.3
세인트키츠네비스,80.7,71.8
세인트루시아,46,73.1
세인트빈센트그레나딘,53.7,74.3
수리남,48.9,72.4
트리니다드토바고,70.6,74.2
미국령버진아일랜드,64.4,74.8
우루과이,70.3,77.6
베네수엘라,61.6,71.9
알바니아,62.4,79
안도라,91.6,83
오스트리아,87.9,81.6
벨라루스,74.4,74.5
벨기에,87.7,81.4
불가리아,63.4,74.8
크로아티아,67.1,78.1
체코,78.7,79
덴마크,97.1,81.1
에스토니아,88.1,78
페로제도,97.6,78
핀란드,87.5,81.5
프랑스,80.5,82.5
독일,84.4,80.9
그리스,69.9,80.9
헝가리,76.8,76
아이슬란드,98.3,82.5
아일랜드,84.1,81.9
이탈리아,63.1,82.7
코소보,83.9,78.8
라트비아,80.1,74.8
리히텐슈타인,99.5,83.9
리투아니아,77.6,75.4
룩셈부르크,97.4,81.7
북마케도니아,74.5,76.5
몰타,81,83.6
몰도바,76.1,70.5
모나코,97.1,85.7
네덜란드,93.2,81.7
노르웨이,96.4,82.6
폴란드,76,77.7
포르투갈,73.8,81.5
루마니아,63.7,76
러시아,76,73.4
산마리노,60.2,82.9
슬로바키아,81.6,77.2
슬로베니아,78.9,81.1
스페인,84.6,83
스웨덴,93,82.4
스위스,89.7,83.4
우크라이나,58.9,74.7
영국,90.4,81.2
몬테네그로,71.3,76.9
세르비아,70.3,76.2
알제리,47.7,75.7
앙골라,26,61.7
베냉,18.7,59.9
보츠와나,41.4,66.8
부르키나파소,16.8,59.5
부룬디,2.7,61.6
카메룬,23.2,60.8
카보베르데,57.2,76.6
중앙아프리카공화국,4,53.7
차드,7.4,52.3
코모로,8.5,63.6
콩고,8.7,63.8
콩고민주공화국,8.6,59.4
코트디부아르,43.8,58.5
지부티,55.7,62.8
이집트,45,71.3
적도기니,26.2,60.8
에리트레아,1.3,66.6
에티오피아,18.6,64.8
가봉,50.3,66.2
감비아,25.1,63
가나,37.9,64
기니,18.7,59.1
기니비사우,14.8,60.1
케냐,17.8,62.5
레소토,39,53.1
라이베리아,16.3,60.6
마다가스카르,9.8,65.1
말라위,7,63
말리,18.9,59.1
모리타니,24.2,65.1
모리셔스,55.4,74.9
모로코,61.8,73.7
모잠비크,7.8,59.8
나미비아,36.8,62.3
니제르,10.2,62.2
나이지리아,28,52.3
르완다,17.2,65.9
상투메프린시페,29.9,68.3
세네갈,29.6,67.8
세이셸,58.8,73.8
시에라리온,13.2,58.7
소말리아,2,55.7
남아프리카공화국,56.2,65.4
남수단,4.1,55.3
수단,18.6,65.4
에스와티니,30.3,57.9
탄자니아,16,66
토고,12.4,60.2
튀니지,55.5,75.8
우간다,8.1,62.1
잠비아,12.2,62.1
짐바브웨,24.4,60.7
오스트레일리아,86.5,83
피지,65.8,67.8
프랑스령폴리네시아,72.7,82.6
괌,80.5,77.2
키리바시,23.4,66.6
마셜제도,38.7,64.3
미크로네시아,35.3,71.5
나우루,62.4,63
뉴칼레도니아,82,79.5
뉴질랜드,87.7,82.2
파푸아뉴기니,11.2,65.1
사모아,33.6,72.6
솔로몬제도,11.9,70
통가,41.2,70.7
투발루,35.2,64.1
바누아투,25.7,69.7
